Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
China,2014,"26,992",Kilogram,,,
China,2013,"19,517.60",Kilogram,,,
China,2012,"16,164.14",Kilogram,,,
China,2011,"14,315.51",Kilogram,,,
China,2015,355.53,Kilogram,,,
China,2014,"1,026.93",Kilogram,,,
China,2013,83.4,Kilogram,,,
China,2012,73.2,Kilogram,,,
China,2011,38.4,Kilogram,,,
"China, Macao SAR",2015,1.8,Kilogram,,,
"China, Macao SAR",2014,6.66,Kilogram,,,
"China, Macao SAR",2013,2.45,Kilogram,,,
"China, Macao SAR",2011,4.26,Kilogram,,,
Indonesia,2013,542.7,Kilogram,,,
Indonesia,2012,1.1,Kilogram,,,
Indonesia,2012,"2,050.60",Kilogram,,,
Indonesia,2011,"1,168.72",Kilogram,,,
Japan,2015,431.76,Kilogram,,,
Japan,2014,570.2,Kilogram,,,
Japan,2013,846.5,Kilogram,,,
Japan,2012,466.6,Kilogram,,,
Japan,2011,350.96,Kilogram,,,
Lao People's Democratic Republic,2015,141.88,Kilogram,,,
Lao People's Democratic Republic,2014,19.38,Kilogram,,,
Lao People's Democratic Republic,2013,26.4,Kilogram,,,
Malaysia,2015,"1,138.45",Kilogram,,,
Malaysia,2014,"1,212.67",Kilogram,,,
Malaysia,2014,37.22,Kilogram,,,
Malaysia,2014,0.52,Kilogram,,,
Malaysia,2013,"1,706.50",Kilogram,,,
Malaysia,2012,851.8,Kilogram,,,
Malaysia,2011,"1,235.60",Kilogram,,,
Myanmar,2015,"2,261.90",Kilogram,,,
Myanmar,2014,47.12,Kilogram,,,
Myanmar,2013,173,Kilogram,,,
Myanmar,2012,426.7,Kilogram,,,
Myanmar,2011,33.4,Kilogram,,,
Philippines,2015,350.77,Kilogram,,,
Philippines,2014,718.47,Kilogram,,,
Philippines,2013,837.6,Kilogram,,,
Philippines,2012,112.1,Kilogram,,,
Philippines,2011,254.3,Kilogram,,,
Republic of Korea,2015,56.5,Kilogram,,,
Republic of Korea,2015,0.71,Kilogram,,,
Republic of Korea,2014,47.7,Kilogram,,,
Republic of Korea,2014,0.93,Kilogram,,,
Republic of Korea,2013,37.69,Kilogram,,,
Republic of Korea,2012,20.7,Kilogram,,,
Republic of Korea,2011,23.2,Kilogram,,,
Singapore,2015,15.58,Kilogram,,,
Singapore,2014,12.53,Kilogram,,,
Singapore,2013,44.06,Kilogram,,,
Singapore,2012,50.84,Kilogram,,,
Singapore,2011,14.08,Kilogram,,,
Thailand,2015,"1,122.43",Kilogram,,,
Thailand,2014,"1,017",Kilogram,,,
Thailand,2013,"1,684.80",Kilogram,,,
Thailand,2012,"1,585.80",Kilogram,,,
Thailand,2011,"1,232",Kilogram,,,
Viet Nam,2015,983,Kilogram,,,
Viet Nam,2012,292,Kilogram,,,
Afghanistan,2015,28.58,Kilogram,,,
