Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Uzbekistan,2011,662.2,Kilogram,,,
Brunei Darussalam,2014,8.1,Kilogram,,,
Brunei Darussalam,2013,0.8,Kilogram,,,
Brunei Darussalam,2012,0.6,Kilogram,,,
Cambodia,2015,2.46,Kilogram,,,
Cambodia,2013,38.34,Kilogram,,,
Cambodia,2012,0.3,Kilogram,,,
Cambodia,2011,2.07,Kilogram,,,
China,2015,"8,796.14",Kilogram,,,
China,2014,"9,441",Kilogram,,,
China,2013,"8,552.89",Kilogram,,,
China,2012,"7,287.09",Kilogram,,,
China,2011,"7,083.74",Kilogram,,,
China,2015,27.37,Kilogram,,,
China,2014,88.9,Kilogram,,,
China,2013,123.06,Kilogram,,,
China,2012,68.56,Kilogram,,,
China,2011,309.42,Kilogram,,,
"China, Macao SAR",2015,2.02,Kilogram,,,
"China, Macao SAR",2014,3.54,Kilogram,,,
"China, Macao SAR",2013,3.16,Kilogram,,,
"China, Macao SAR",2011,13.46,Kilogram,,,
Indonesia,2013,11.3,Kilogram,,,
Japan,2015,2,Kilogram,,,
Japan,2014,0.0006,Kilogram,,,
Japan,2013,3.76,Kilogram,,,
Japan,2012,0.11,Kilogram,,,
Japan,2011,3.6,Kilogram,,,
Lao People's Democratic Republic,2015,134.83,Kilogram,,,
Lao People's Democratic Republic,2014,181.78,Kilogram,,,
Lao People's Democratic Republic,2013,287.82,Kilogram,,,
Lao People's Democratic Republic,2012,45,Kilogram,,,
Lao People's Democratic Republic,2011,43.4,Kilogram,,,
Malaysia,2015,742.84,Kilogram,,,
Malaysia,2014,453.79,Kilogram,,,
Malaysia,2014,2.03,Kilogram,,,
Malaysia,2013,763,Kilogram,,,
Malaysia,2012,416.9,Kilogram,,,
Malaysia,2011,755.54,Kilogram,,,
Mongolia,2012,5.4,Kilogram,,,
Myanmar,2015,186.04,Kilogram,,,
Myanmar,2015,538.91,Kilogram,,,
Myanmar,2014,435.46,Kilogram,,,
Myanmar,2013,238.93,Kilogram,,,
Myanmar,2012,335.8,Kilogram,,,
Myanmar,2011,42.44,Kilogram,,,
Philippines,2015,1.99,Kilogram,,,
Republic of Korea,2015,0.05,Kilogram,,,
Singapore,2015,53.67,Kilogram,,,
Singapore,2014,67.54,Kilogram,,,
Singapore,2013,72.37,Kilogram,,,
